"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"110","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae",NA,NA,"b57ebc7e42c8a6ed4f312c65a0910ad7"
"111","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","unidentified","c65c8f46fa71ed2dfe17945e12730261"
"112","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,"29e1d06abc111edcd1c9128687c9701c"
"113","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Hodophilus",NA,"feaaafea63e70bba8e5cd52ede6de058"
"114","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","Devriesia_thermodurans","8ebbf088d76d2b68b1ec3b20f6e77bcd"
"115","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"32bffff55ff26396f3f4dff5dc412bcf"
"116","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_nodositatum","6a8778923af75df0b43651cd552a6931"
"117","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","df8ba956df55fff509cacb9c94a98243"
"118","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"9e11ec700d935e808686edd012ff9064"
"119","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum_nigrum","1c7db8fb41edd4d09ae8de1190ca86ba"
"120","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"8063ab5bf2ec3b29e0eb9c3f3a96b17f"
"121","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","Devriesia_acadiensis","ff827fbfb2bf1ae660b19d24c14f92c8"
"122","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Pseudothielavia","Pseudothielavia_subhyaloderma","79c0c2e3f19153ff685ef4658b8babe9"
"123","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae",NA,NA,"de278af6c16955cf92e71fa39dbdda34"
"124","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Hodophilus",NA,"a0480780d2bda4bc7ed7e8a02003a30b"
"125","Fungi","Ascomycota",NA,NA,NA,NA,NA,"57744b357ae7e9dfdcf7c8ca9a421e0c"
"126","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_variicolor","c5d33bbbeecc8ee7d29e0999056a954c"
"127","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","unidentified","unidentified","unidentified","9fcefe003dda00b44f315bea86ed70fa"
"128","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,"9920f2efb1d3b7bba5cff1f60f1e9e10"
"129","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","unidentified","c5f4c784539fcfe1dc7d22ccc2157141"
"130","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","unidentified","f24437c7f64f5d03666e3c360208b472"
"131","Fungi","Ascomycota",NA,NA,NA,NA,NA,"8a3b86878261e00b1b728516d8572665"
"132","Fungi","Ascomycota",NA,NA,NA,NA,NA,"6eb47a00b5f264f2b181319097005bfb"
"133","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","unidentified","3d2386019656e092dfc18fd0fc686de7"
"134","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","unidentified","unidentified","unidentified","c9100af7fd662c3d41e9741485952cab"
"135","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Neptunomyces","Neptunomyces_aureus","fbd34124710abd365652bc5c1fa9f6e5"
"136","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum","Trichoglossum_hirsutum","38933c0a3a18f00018f9bdc0d121dc59"
"137","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","unidentified","unidentified","cdb3b39cbe5c70cb75afca87bc45be9d"
